source_family,label_fr,label_en
Charges de personnel et social,Charges de personnel et sociales,Payroll and social security expenses
"Achats, matières et consommables","Achats, matières et consommables","Purchases, materials and consumables"
"Maintenance, infrastructures et équipements","Maintenance, infrastructures et équipements","Maintenance, infrastructure and equipment"
"Énergie, eau et fluides","Énergie, eau et fluides","Energy, water and utilities"
Prestations externes et frais,Prestations externes et frais,External services and fees
"Transport, déplacements et logistique","Transport, déplacements et logistique","Transport, travel and logistics"
Charges financières et amortissements,Charges financières et amortissements,Financial charges and depreciation
"Impôts, risques et autres charges","Impôts, risques et autres charges","Taxes, risks and other charges"
