source_code,source_name,target_code,target_name,target_name_en
2010,Port Operations Department,,Direction des Opérations Portuaires,Port Operations Department
2020,Engineering & Infrastructure Department,,Direction Ingénierie et Infrastructures,Engineering & Infrastructure Department
2030,Commercial & Estate Department,,Direction Commerciale et Domaniale,Commercial & Estate Department
2040,Corporate Services Department,,Direction des Services Généraux,Corporate Services Department
2050,Safety & Security Department,,Direction Sûreté et Sécurité,Safety & Security Department
2060,Finance Department,,Direction Financière,Finance Department
